Ф.И.О.;Укажите, пожалуйста, место Вашей работы.;К какой категории относится Ваша должность?;Почему Вы решили пройти обучение по данной программе?;"Насколько программа обучения полезна для Вашей работы? 
Оцените, пожалуйста, полезность программы по 10-балльной шкале, где 1 — программа совершенно бесполезна, 10 — программа очень полезна ";Прокомментируйте, пожалуйста, какие вопросы были для Вас наиболее актуальны и почему?;Какие знания, умения и навыки, полученные на программе, Вы сможете применить в своей деятельности?;Был ли достигнут ожидаемый эффект от обучения? ;Если нет, напишите, пожалуйста, почему? Если да, Вы можете поставить прочерк.;Какие темы и (или) вопросы можно исключить из данной программы без потери полезности?;Какими темами и (или) вопросами важно дополнить программу для усиления ее полезности и актуальности?;"Как Вы оцениваете практико-ориентированность программы? 
Оцените, пожалуйста, практическую часть по 10-балльной шкале, где 1 — были лекции, практики почти не было, 10 — практических заданий и (или) примеров было достаточно.";Достаточно ли практических заданий, примеров, разборов ситуаций? ;Если нет, какие темы и (или) вопросы требуют большей практической отработки? Если да, Вы можете поставить прочерк.;Что бы Вы хотели изменить в организации практических занятий, чтобы они стали полезными для Вашей деятельности?;"Насколько Вы оцениваете доступность материала программы обучения?
Оцените, пожалуйста, доступность материала программы по 10-балльной шкале, где 1 — я с трудом понял (поняла), о чем идет речь; 10 — материал был предельно доступным и понятным.";Сохраняется ли правильная последовательность тем и логика изложения материала?; Если нет, напишите, пожалуйста, в чем это заключается. Если да, Вы можете поставить прочерк.;Могли ли Вы на занятии задать интересующие Вас вопросы по изучаемой теме и получить исчерпывающие ответы?;Если нет, напишите, пожалуйста, подробнее. Если да, Вы можете поставить прочерк.;Чувствовали ли Вы свою отстраненность от процесса, потерю интереса во время обучения? ;Если да, в какие моменты обучения они возникали? Если нет, Вы можете поставить прочерк.;Что могло бы повысить Вашу вовлеченность в обучение?;Если бы у Вас была возможность выбрать формат обучения по данной программе, какой бы Вы предпочли? ;"Насколько эффективным было взаимодействие с командой Корпоративного университета на протяжении всего периода обучения?
Оцените, пожалуйста, взаимодействие по 10 — балльной шкале, где 1 — взаимодействие было неэффективным, 10 — это была отличная командная работа на результат!";Прокомментируйте, пожалуйста, Ваш выбор.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;тема актуальная и очень интересная;10;создание промтов, презентаций, видео, картинок;все;да;-;затрудняюсь ответить;затрудняюсь ответить;10;да;-;затрудняюсь ответить;10;да;-;да;-;нет;-;затрудняюсь ответить;смешанное обучение: частично очно, частично дистанционно;10;Умный и знающий лектор, создание группы в МАХе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;Хотелось больше узнать об ИИ, его возможностях;10;Названия нейронок;Правильно делать промты, генерировать текст, работать с видео и аудио файлами, преобразовывать их с помощью ИИ, делать презентации и многое другое;да;-;нет ответа, все ок;нет ответа, все ок;10;да;нет ответа, все ок;нет ответа, все ок;10;да;-;да;-;нет;-;общение с преподавателем, вовлечение всех участников, ориентированный подход;смешанное обучение: частично очно, частично дистанционно;10;Все было на уровне. Спасибо организаторам и всем причастным;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Необходимость модернизации государственной службы. Внедрение ИИ позволит оптимизировать рабочие процессы, сократить издержки и улучшить качество предоставляемых государством услуг. Мы учимся, чтобы быть готовыми к будущему и эффективно использовать передовые технологии на благо общества.;10;"Все вопросы были актуальны.
Интересен подход к ИИ и её возможности.";Все навыки.;да;-;Оставить все.;Не готова ответить.;10;да;-;Увеличить скорость интернета.;10;да;-;да;-;нет;-;Затрудняюсь ответить.;полностью дистанционный формат обучения;10;Всем спасибо!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Эти знания помогут в работе и в личных целях;10;Создание презентаций с помощью нейросетей, написание текстов по заданному промту, транскрибация из аудио в текст;Создание презентаций с помощью нейросетей, написание текстов по заданному промту;да;-;-;дополнить возможностью использования платных ресурсов в процессе обучения;10;да;-;-;10;да;-;да;-;нет;-;более детальное изучение темы на практике;очное обучение в аудиториях Корпоративного университета;10;Отзывчивые, дружелюбные, компетентные;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;на таких курсах разбирают Национальную стратегию развития ИИ до 2030 года, законы о персональных данных и этику, что минимизирует риски ошибок ИИ;10;Обучение правильному формулированию задач для нейросетей (контекст, роль, четкие критерии, формат вывода).;ЗУН для ответов на жалобы граждан в официально-деловом стиле;да;-;Все рассматриваемые вопросы из программы важны. Поэтому исключать ничего не нужно.;Практикумы по одновременной работе с текстом, таблицами, аудио и сканами;10;да;-;Ничего;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;Спасибо большое. Очень интересная программа. Буду рекомендовать коллегам.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Мне необходимо было понять общие инструменты по ИИ в одном месте;10;Создание видео и презентаций;Создание видео и презентаций;да;-;-;нормативной база, ее в целом нет. Какие последствия от использования нейронок и слива данных;10;да;-;-;10;да;-;да;-;нет;-;-;смешанное обучение: частично очно, частично дистанционно;10;вы лучшие;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;рекомендация коллег;7;принципы работы нейросетей;создание презентаций, работа с текстом;да;-;знакомство с аудиторией;больше практики;4;нет;больше попыток написания промптов;дать возможность доступа к ряду нейросетей;9;да;-;да;-;да;долгое знакомство, рассуждения на отстраненные темы;-;смешанное обучение: частично очно, частично дистанционно;7;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Хотелось начать применять новые возможности ИИ в своей работе;10;Подготовка с помощью ИИ писем, т.к. это экономит очень много времени+ИИ рождает новые идеи  и формулировки, которые самостоятельно не всегда получается придумать;Создание презентаций. разработка решений для оптимизации рабочего процесса;да;-;Ничего не нужно исключать;Еще больше практики;10;да;-;ничего;10;да;-;да;-;нет;-;-;очное обучение в аудиториях Корпоративного университета;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;специалист;Интересно было узнать новое в этой области;10;Презентационные знания, текстовые;Текстовые генерации, презентационные;да;-;Никакие;Программа достаточно полная;10;да;-;-;10;да;-;да;-;нет;-;Я была максимально вовлечена в процесс обучения;очное обучение в аудиториях Корпоративного университета;10;Тема актуальна и современна;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;руководитель;все новое всегда интересно;10;все! изначально знаний по ИИ почти не было;создавать промпт, презентации;да;-;ни какие;для меня всего достаточно;10;да;-;-;10;да;-;да;-;нет;-;-;очное обучение в аудиториях Корпоративного университета;10;спасибо за интересный курс!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
